,showcase_1,showcase_2,bid_1,bid_2,diff_1,diff_2,estimated_bid1,estimated_diff1,estimated_bid2,estimated_diff2
135,26254.0,42675.0,29635.80150811411,28999.0,3381.8015081141093,-13676.0,23400.0,-2854.0,23500.0,-19175.0
136,29137.0,20267.0,32064.96584258832,26000.0,2927.965842588321,5733.0,25050.0,-4087.0,22350.0,2083.0
137,32666.0,32390.0,37702.777611132544,27500.0,5036.777611132544,-4890.0,29250.0,-3416.0,22850.0,-9540.0
138,30706.0,20513.0,23804.796814698333,21100.0,-6901.203185301667,587.0,20450.0,-10256.0,20600.0,87.0
139,34805.0,32782.0,44902.96589084136,30777.0,10097.965890841362,-2005.0,34700.0,-105.0,24250.0,-8532.0
140,33343.0,29488.0,24497.211221657075,18000.0,-8845.788778342925,-11488.0,20750.0,-12593.0,19500.0,-9988.0
141,29671.0,27498.0,25558.96493490024,24000.0,-4112.035065099761,-3498.0,21250.0,-8421.0,21550.0,-5948.0
142,20408.0,34453.0,17094.926493485444,36100.0,-3313.0735065145564,1647.0,18050.0,-2358.0,26750.0,-7703.0
143,30406.0,36562.0,34491.10361706218,24000.0,4085.103617062181,-12562.0,27150.0,-3256.0,21600.0,-14962.0
144,20990.0,19827.0,29768.32669717465,18000.0,8778.326697174649,-1827.0,23700.0,2710.0,19550.0,-277.0
145,32391.0,49869.0,37623.57325086579,33057.0,5232.573250865789,-16812.0,29250.0,-3141.0,25450.0,-24419.0
146,20828.0,30602.0,9200.842625737187,28000.0,-11627.157374262813,-2602.0,15800.0,-5028.0,23150.0,-7452.0
147,36439.0,28979.0,43029.29658934068,25500.0,6590.29658934068,-3479.0,33000.0,-3439.0,22200.0,-6779.0
148,31785.0,36419.0,33200.9915507209,28000.0,1415.9915507209007,-8419.0,26300.0,-5485.0,23300.0,-13119.0
149,27663.0,29993.0,31263.516898070917,23000.0,3600.516898070917,-6993.0,24850.0,-2813.0,21300.0,-8693.0
150,30291.0,36548.0,27434.46357197954,23100.0,-2856.5364280204594,-13448.0,22250.0,-8041.0,21350.0,-15198.0
